EXE: ./bin/hw4, RANKS: 12, SIZE: 250, GENS: 5000, SEC: 0.407000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 250, GENS: 5000, SEC: 0.454000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 250, GENS: 5000, SEC: 0.427000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 250, GENS: 5000, SEC: 0.442000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 250, GENS: 5000, SEC: 0.440000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 250, GENS: 5000, SEC: 0.464000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 250, GENS: 5000, SEC: 0.518000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 250, GENS: 5000, SEC: 0.454000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 250, GENS: 5000, SEC: 0.497000 
EXE: ./bin/hw4, RANKS: 24, SIZE: 250, GENS: 5000, SEC: 0.522000 
EXE: ./bin/hw4, RANKS: 24, SIZE: 250, GENS: 5000, SEC: 0.490000 
EXE: ./bin/hw4, RANKS: 24, SIZE: 250, GENS: 5000, SEC: 0.487000 
EXE: ./bin/hw4, RANKS: 28, SIZE: 250, GENS: 5000, SEC: 0.491000 
EXE: ./bin/hw4, RANKS: 28, SIZE: 250, GENS: 5000, SEC: 0.532000 
EXE: ./bin/hw4, RANKS: 28, SIZE: 250, GENS: 5000, SEC: 0.519000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 500, GENS: 5000, SEC: 1.495000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 500, GENS: 5000, SEC: 1.457000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 500, GENS: 5000, SEC: 1.468000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 500, GENS: 5000, SEC: 0.991000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 500, GENS: 5000, SEC: 0.975000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 500, GENS: 5000, SEC: 0.971000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 500, GENS: 5000, SEC: 0.667000 
