EXE: ./bin/hw4, RANKS: 12, SIZE: 250, GENS: 5000, SEC: 0.406000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 250, GENS: 5000, SEC: 0.405000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 250, GENS: 5000, SEC: 0.458000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 250, GENS: 5000, SEC: 0.494000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 250, GENS: 5000, SEC: 0.446000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 250, GENS: 5000, SEC: 0.448000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 250, GENS: 5000, SEC: 0.478000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 250, GENS: 5000, SEC: 0.505000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 250, GENS: 5000, SEC: 0.489000 
EXE: ./bin/hw4, RANKS: 24, SIZE: 250, GENS: 5000, SEC: 0.535000 
EXE: ./bin/hw4, RANKS: 24, SIZE: 250, GENS: 5000, SEC: 0.502000 
EXE: ./bin/hw4, RANKS: 24, SIZE: 250, GENS: 5000, SEC: 0.487000 
EXE: ./bin/hw4, RANKS: 28, SIZE: 250, GENS: 5000, SEC: 0.545000 
EXE: ./bin/hw4, RANKS: 28, SIZE: 250, GENS: 5000, SEC: 0.506000 
EXE: ./bin/hw4, RANKS: 28, SIZE: 250, GENS: 5000, SEC: 0.533000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 500, GENS: 5000, SEC: 1.452000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 500, GENS: 5000, SEC: 1.512000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 500, GENS: 5000, SEC: 1.432000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 500, GENS: 5000, SEC: 0.994000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 500, GENS: 5000, SEC: 0.985000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 500, GENS: 5000, SEC: 0.908000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 500, GENS: 5000, SEC: 0.678000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 500, GENS: 5000, SEC: 0.667000 
EXE: ./bin/hw4, RANKS: 4, SIZE: 500, GENS: 5000, SEC: 0.700000 
EXE: ./bin/hw4, RANKS: 8, SIZE: 500, GENS: 5000, SEC: 0.583000 
EXE: ./bin/hw4, RANKS: 8, SIZE: 500, GENS: 5000, SEC: 0.577000 
EXE: ./bin/hw4, RANKS: 8, SIZE: 500, GENS: 5000, SEC: 0.561000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 500, GENS: 5000, SEC: 0.544000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 500, GENS: 5000, SEC: 0.535000 
EXE: ./bin/hw4, RANKS: 12, SIZE: 500, GENS: 5000, SEC: 0.536000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 500, GENS: 5000, SEC: 0.535000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 500, GENS: 5000, SEC: 0.535000 
EXE: ./bin/hw4, RANKS: 16, SIZE: 500, GENS: 5000, SEC: 0.545000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 500, GENS: 5000, SEC: 0.531000 
EXE: ./bin/hw4, RANKS: 20, SIZE: 500, GENS: 5000, SEC: 0.538000 
