EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.293000, DEVICE: gpu, THREADS: 32
EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.223000, DEVICE: gpu, THREADS: 64
EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.224000, DEVICE: gpu, THREADS: 128
EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.234000, DEVICE: gpu, THREADS: 256
EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.253000, DEVICE: gpu, THREADS: 512
EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.253000, DEVICE: gpu, THREADS: 1024
EXE: ./bin/simple-hw5, SIZE: 8000, GENS: 100, SEC: 0.244000, DEVICE: gpu, THREADS: 2048
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 13.642000, DEVICE: cpu, THREADS: 1
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.478000, DEVICE: gpu, THREADS: 8
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.519000, DEVICE: gpu, THREADS: 16
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.522000, DEVICE: gpu, THREADS: 32
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.395000, DEVICE: gpu, THREADS: 64
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.388000, DEVICE: gpu, THREADS: 128
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.393000, DEVICE: gpu, THREADS: 256
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.383000, DEVICE: gpu, THREADS: 512
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.401000, DEVICE: gpu, THREADS: 1024
EXE: ./bin/simple-hw5, SIZE: 12000, GENS: 100, SEC: 0.397000, DEVICE: gpu, THREADS: 2048
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 21.774000, DEVICE: cpu, THREADS: 1
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.674000, DEVICE: gpu, THREADS: 8
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.717000, DEVICE: gpu, THREADS: 16
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.754000, DEVICE: gpu, THREADS: 32
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.532000, DEVICE: gpu, THREADS: 64
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.538000, DEVICE: gpu, THREADS: 128
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.527000, DEVICE: gpu, THREADS: 256
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.515000, DEVICE: gpu, THREADS: 512
EXE: ./bin/simple-hw5, SIZE: 15000, GENS: 100, SEC: 0.536000, DEVICE: gpu, THREADS: 1024
