EXE: ./bin/hw4, RANKS: 1, SIZE: 2500, GENS: 200, SEC: 1.063000, MEM: 6255000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 2500, GENS: 200, SEC: 0.557000, MEM: 3127500 
EXE: ./bin/hw4, RANKS: 2, SIZE: 2500, GENS: 200, SEC: 0.555000, MEM: 3127500 
EXE: ./bin/hw4, RANKS: 2, SIZE: 2500, GENS: 200, SEC: 0.557000, MEM: 3127500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 2500, GENS: 200, SEC: 0.265000, MEM: 1563750 
EXE: ./bin/hw4, RANKS: 4, SIZE: 2500, GENS: 200, SEC: 0.275000, MEM: 1563750 
EXE: ./bin/hw4, RANKS: 4, SIZE: 2500, GENS: 200, SEC: 0.280000, MEM: 1563750 
EXE: ./bin/hw4, RANKS: 8, SIZE: 2500, GENS: 200, SEC: 0.150000, MEM: 783126 
EXE: ./bin/hw4, RANKS: 8, SIZE: 2500, GENS: 200, SEC: 0.139000, MEM: 783126 
EXE: ./bin/hw4, RANKS: 8, SIZE: 2500, GENS: 200, SEC: 0.144000, MEM: 783126 
EXE: ./bin/hw4, RANKS: 12, SIZE: 2500, GENS: 200, SEC: 0.097000, MEM: 522918 
EXE: ./bin/hw4, RANKS: 12, SIZE: 2500, GENS: 200, SEC: 0.107000, MEM: 522918 
EXE: ./bin/hw4, RANKS: 12, SIZE: 2500, GENS: 200, SEC: 0.096000, MEM: 522918 
EXE: ./bin/hw4, RANKS: 16, SIZE: 2500, GENS: 200, SEC: 0.076000, MEM: 392814 
EXE: ./bin/hw4, RANKS: 16, SIZE: 2500, GENS: 200, SEC: 0.075000, MEM: 392814 
EXE: ./bin/hw4, RANKS: 16, SIZE: 2500, GENS: 200, SEC: 0.076000, MEM: 392814 
EXE: ./bin/hw4, RANKS: 20, SIZE: 2500, GENS: 200, SEC: 0.100000, MEM: 312750 
EXE: ./bin/hw4, RANKS: 20, SIZE: 2500, GENS: 200, SEC: 0.064000, MEM: 312750 
EXE: ./bin/hw4, RANKS: 20, SIZE: 2500, GENS: 200, SEC: 0.099000, MEM: 312750 
EXE: ./bin/hw4, RANKS: 24, SIZE: 2500, GENS: 200, SEC: 0.058000, MEM: 262710 
EXE: ./bin/hw4, RANKS: 24, SIZE: 2500, GENS: 200, SEC: 0.091000, MEM: 262710 
EXE: ./bin/hw4, RANKS: 24, SIZE: 2500, GENS: 200, SEC: 0.057000, MEM: 262710 
EXE: ./bin/hw4, RANKS: 28, SIZE: 2500, GENS: 200, SEC: 0.086000, MEM: 225180 
EXE: ./bin/hw4, RANKS: 28, SIZE: 2500, GENS: 200, SEC: 0.086000, MEM: 225180 
EXE: ./bin/hw4, RANKS: 28, SIZE: 2500, GENS: 200, SEC: 0.089000, MEM: 225180 
