EXE: ./bin/hw3, THREAD: 12, SIZE: 250, GENS: 5000, SEC: 0.077000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 250, GENS: 5000, SEC: 0.081000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 250, GENS: 5000, SEC: 0.069000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 250, GENS: 5000, SEC: 0.061000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 250, GENS: 5000, SEC: 0.064000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 250, GENS: 5000, SEC: 0.072000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 250, GENS: 5000, SEC: 0.059000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 250, GENS: 5000, SEC: 0.065000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 250, GENS: 5000, SEC: 0.062000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 250, GENS: 5000, SEC: 0.063000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 250, GENS: 5000, SEC: 0.049000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 250, GENS: 5000, SEC: 0.049000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 250, GENS: 5000, SEC: 0.047000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 250, GENS: 5000, SEC: 0.192000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 250, GENS: 5000, SEC: 0.060000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 500, GENS: 5000, SEC: 1.172000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 500, GENS: 5000, SEC: 1.219000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 500, GENS: 5000, SEC: 1.216000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 500, GENS: 5000, SEC: 0.650000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 500, GENS: 5000, SEC: 0.599000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 500, GENS: 5000, SEC: 0.628000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 500, GENS: 5000, SEC: 0.377000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 500, GENS: 5000, SEC: 0.381000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 500, GENS: 5000, SEC: 0.355000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 500, GENS: 5000, SEC: 0.211000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 500, GENS: 5000, SEC: 0.212000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 500, GENS: 5000, SEC: 0.208000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 500, GENS: 5000, SEC: 0.171000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 500, GENS: 5000, SEC: 0.170000 
EXE: ./bin/hw3, THREAD: 12, SIZE: 500, GENS: 5000, SEC: 0.176000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 500, GENS: 5000, SEC: 0.158000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 500, GENS: 5000, SEC: 0.160000 
EXE: ./bin/hw3, THREAD: 16, SIZE: 500, GENS: 5000, SEC: 0.142000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 500, GENS: 5000, SEC: 0.127000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 500, GENS: 5000, SEC: 0.126000 
EXE: ./bin/hw3, THREAD: 20, SIZE: 500, GENS: 5000, SEC: 0.126000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 500, GENS: 5000, SEC: 0.125000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 500, GENS: 5000, SEC: 0.139000 
EXE: ./bin/hw3, THREAD: 24, SIZE: 500, GENS: 5000, SEC: 0.117000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 500, GENS: 5000, SEC: 0.107000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 500, GENS: 5000, SEC: 0.136000 
EXE: ./bin/hw3, THREAD: 28, SIZE: 500, GENS: 5000, SEC: 0.149000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 750, GENS: 5000, SEC: 2.676000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 750, GENS: 5000, SEC: 2.712000 
EXE: ./bin/hw3, THREAD: 1, SIZE: 750, GENS: 5000, SEC: 2.676000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 750, GENS: 5000, SEC: 1.401000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 750, GENS: 5000, SEC: 1.344000 
EXE: ./bin/hw3, THREAD: 2, SIZE: 750, GENS: 5000, SEC: 1.405000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 750, GENS: 5000, SEC: 0.756000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 750, GENS: 5000, SEC: 0.762000 
EXE: ./bin/hw3, THREAD: 4, SIZE: 750, GENS: 5000, SEC: 0.744000 
EXE: ./bin/hw3, THREAD: 8, SIZE: 750, GENS: 5000, SEC: 0.444000 
